"indice_pop";"montagne";"touristique";"metropole";"metropolehidf";"annee";"population";"dep_invest";"dep_invest_ba";"rec_invest";"rec_invest_ba";"dep_equip";"dep_equip_ba";"dep_equip_brut";"dep_equip_brut_ba";"remboursement";"remboursement_ba";"emprunt";"emprunt_ba";"dep_fonc";"dep_fonc_ba";"rec_fonc";"rec_fonc_ba";"dette";"dette_ba";"fc_i";"fc_f";"terrains";"terrains_ba";"constructions";"constructions_ba";"reseaux";"reseaux_ba";"bien_meuble";"bien_meuble_ba";"taxe_amenag";"taxe_amenag_ba";"compte13_10";"compte13_10_ba";"amende";"amende_ba";"FCTVA";"FCTVA_ba";"planFCTVA_r";"planFCTVA_d";"planFCTVA_r_ba";"planFCTVA_d_ba";"cessions";"cessions_ba";"subvention_204";"subvention_204_ba";"siren_epci";"epn";"epn_ba";"rec_invest_hors_planFCTVA";"rec_invest_hors_planFCTVA_ba";"plan_relance_FCTVA_net";"plan_relance_FCTVA_net_ba";"remb_avance";"remb_avance_ba";"sub_dot_ssTAAm";"sub_dot_ssTAAm_ba";"autres_dep_equip";"autres_dep_equip_ba";"autres_rec_invest";"autres_rec_invest_ba";"autres_rec_invest_hors_planrelance";"autres_rec_invest_hors_planrelance_ba";"var_fon_roul";"var_fon_roul_ba"
1;0;1;2;0;2016;9104118;2463076,646;212085,32435;1300632,90792;75962,85302;2028813,10286;193091,81354;2038274,56761;199211,23032;1123436,27353;84628,58046;894134,84969;103840,05442;11326971,29432;532910,83144;12896610,63182;710663,34576;11688461,42541;1012148,69715;7114,21507;186089,11593;199939,75874;10778,8458;932889,83636;72756,48154;524942,85466;98791,37585;195355,4126;8945,96335;82096,04061;809,65109;517615,3295;51091,85007;67555,762;230,896;296790,13722;4786,03138;8623,81099;33768,65;0;0;254304,32524;7239,76695;244793,6437;4954,3799;NA;446203,06397;93123,93386;1325777,74693;75962,85302;-25144,83901;0;-9461,46475000003;-6119,41678;367963,52689;50051,30298;185146,70525;7938,56378;231923,11596;12845,20462;257067,95497;12845,20462;177894,17558;60841,51695
1;0;1;2;0;2017;9098720;2657652,62227;167135,63915;1231004,88105;51118,59546;2200624,02172;159740,46483;2208066,10388;160306,47465;1107106,94662;77264,95641;1010041,54136;53398,11524;11214218,27183;492589,01722;12813604,63229;641907,37653;11386057,10288;882810,27578;8025,10465;173748,9361;254402,88025;13445,5359;992825,46679;29118,71965;555979,78434;101555,92941;223243,16964;8291,1006;86098,25028;0;518644,55163;28674,69619;69323,48708;0;276963,13106;3081,54592;586,51918;41294,1505;0;0;275322,93286;7036,87291;251935,82102;739,9041;NA;492279,41384;72053,4029;1271712,51237;51118,59546;-40707,63132;0;-7442,08216000001;-566,00982;363222,81427;28674,69619;181614,80286;7895,18909;160074,2655;12325,48044;200781,89682;12325,48044;75673,2139800001;9434,47445
1;0;1;2;1;2014;131915;59203,18136;2166,89306;22400,82668;337,99736;58366,0741;2166,89306;58366,0741;2166,89306;11142,63867;490,11769;9168,04697;81,206;176291,9952;6445,62691;209833,81722;17191,36716;89438,63286;4620,08115;0;1242,16106;1186,14737;0;24652,07197;196,87757;19082,12912;1808,60626;10824,19047;36,35671;685,78205;0;9396,92667;59,79;727,913;0;7612,33972;42,306;0;0;0;0;3630,05378;0;728,53859;0;1449855698;22399,18335;10255,62256;22400,82668;337,99736;0;0;0;0;7983,23162;59,79;2621,53517;125,05252;1761,50651;235,90136;1761,50651;235,90136;-5235,12435999999;8507,93286
1;0;1;2;1;2015;130976;54493,79426;2751,53918;21146,11072;462,14008;50452,50763;2751,53918;50452,50763;2751,53918;10655,80976;247,49463;8455,21341;5687,632;177787,66449;8202,45467;215358,24696;9320,33466;89969,37165;10060,21852;0;1225,66745;3430,20018;0;18197,40817;632,93125;19385,19093;2040,31281;6022,9102;46,91718;1455,42803;0;9347,07166;115,885;762,819;0;6134,90102;89,51651;0;0;0;0;4489,38119;0;1580,15079;0;1449855698;26914,77271;870,38536;21146,11072;462,14008;0;0;0;0;7128,82463;115,885;3416,79815;31,37794;1174,75685;256,73857;1174,75685;256,73857;2022,30258000001;4268,61826
1;0;1;2;1;2016;130333;50477,84158;2620,33214;22984,09198;738,63133;48370,02744;2620,33214;48744,43488;2620,33214;11601,46827;443,02867;11944,07943;6020,45;176949,1034;8594,4441;212496,86885;5107,00346;89948,12521;15637,63985;0;1156,39783;5036,14015;41,34773;21713,92734;534,77035;14397,08858;1832,52129;4754,0727;35,58873;2466,60969;0;9004,024;347,31833;755,894;0;9620,78732;178,07011;0;0;0;0;2701,59768;0;1928,72319;0;1449855698;23946,29718;-3930,46931;22984,09198;738,63133;0;0;-374,407440000001;0;5781,52031;347,31833;2843,20611;176,10404;1657,68298;213,24289;1657,68298;213,24289;8396,62701;208,279880000001
1;0;1;2;1;2017;130470;47999,08063;5527,73938;31990,62798;418,46856;46070,70706;5527,73938;46074,18281;5527,73938;11137,19161;1994,12626;6018,11855;2659,622;172874,03347;7974,13448;208592,34427;13352,3164;84812,79092;16364,81359;0;984,31934;4728,5073;7,27872;21791,41342;365,61485;12628,50974;4691,65084;3709,05383;51,37697;1795,72931;0;7694,18272;239,4905;925,108;0;6717,41684;115,453;0;0;0;0;12401,28331;0;1878,05013;0;1449855698;24581,11919;3384,05566;31990,62798;418,46856;0;0;-3,47575000000052;0;4973,34541;239,4905;3216,69852;411,818;5177,74511;63,52506;5177,74511;63,52506;14590,78509;934,40684
1;1;0;0;1;2014;1061933;263837,9358;35967,10051;156218,76761;9383,71293;251572,56312;35967,10051;252749,03328;36054,96503;89384,32096;4810,49508;104879,2873;24882,5;1323760,81966;17190,32247;1393246,22754;33574,42004;1075598,69345;120382,96701;0;7524,61838;18413,22871;222,89878;89208,94334;5932,48228;94418,23968;26550,53505;22099,40361;249,47501;9555,83808;0;91814,24977;6450,73042;4557,992;0;38607,17276;1303,08365;0;0;0;0;16498,50673;0,778;6712,78103;0;NA;-19898,91308;11573,60249;156218,76761;9383,71293;0;0;-1176,47016;-87,8645199999996;77700,41969;6450,73042;28609,21794;3099,57391;9298,83835;1629,12086;9298,83835;1629,12086;-22638,79397;9872,71491
1;1;0;0;1;2015;1062793;283852,61076;37533,19075;196354,09022;18998,53752;270405,14738;37381,8761;272401,9174;37473,83804;90138,29709;5274,80004;98994,97414;18922,768;1336536,40578;17848,50454;1427136,26749;33310,13942;1093689,33146;134030,93497;0;9686,52287;21270,71922;113,5855;109875,90384;6174,67845;89688,86638;27899,42911;29179,40137;205,7364;12045,57807;0;127809,99778;17275,2889;4235,277;0;36016,5249;769,53894;10264,615;0;0;0;17094,66205;0;4899,10713;0;NA;461,564619999995;10186,83484;186089,47522;18998,53752;10264,615;0;-1996,77002;-91,9619399999997;111529,14271;17275,2889;22387,02659;3080,40858;15432,90549;953,70968;5168,29049000001;953,70968;11958,01822;10574,94961
1;1;0;0;1;2016;1060927;251493,18265;33215,82504;174584,21904;13986,43566;235826,37093;32801,10504;237412,90956;33925,51731;96595,05178;6195,74954;73771,86421;9800;1364198,79834;22061,22444;1440201,53989;35318,85046;1086164,50742;137086,64971;0;12554,76302;20345,49883;0;89902,69113;2008,60115;76297,57263;29322,7816;24336,34949;180,20091;10685,41753;0;112153,30681;10156,46668;4322,797;0;39207,37051;1021,70765;0;5132,3075;0;0;22601,51565;12,038;7836,743;0;NA;-20592,31023;7061,87648;179716,52654;13986,43566;-5132,3075;0;-1586,53863;-1124,41227;97145,09228;10156,46668;26530,79748;2413,93365;622,02607;2796,22333;5754,33357;2796,22333;-23729,40963;-2367,5129
1;1;0;0;1;2017;1035992;235453,68295;28715,25996;134047,72699;7002,03395;217416,10114;28715,25996;218068,56239;28715,25996;106824,42601;6413,56192;117881,53485;26777,82301;1341539,03215;17413,73899;1418569,86266;32427,63131;1081753,86035;156130,9108;0;9258,54859;24828,65032;4,00578;77549,05615;945,41687;66234,51058;25643,23511;26728,12994;98,72842;11186,32878;0;90161,21936;3590,70825;4533,634;0;30260,45195;664,6375;0;5132,3075;0;0;16970,7994;0;7682,53338;0;NA;-29793,5955;8600,3304;139180,03449;7002,03395;-5132,3075;0;-652,461250000003;0;74441,25658;3590,70825;22728,2154;2023,87378;-3344,74372;2746,6882;1787,56378;2746,6882;-13318,0166100001;13664,9274
